linkedin_url,input_name,website,domain,linkedin_id_found,success
https://www.linkedin.com/company/lacroix-group,Lacroix,http://www.lacroix-group.com,lacroix-group.com,lacroix-sa,false
https://www.linkedin.com/company/the-coca-cola-company,Coca-cola,http://www.coca-colacompany.com,coca-colacompany.com,the-coca-cola-company,true
https://www.linkedin.com/company/nestle-s-a-,Nestle,http://www.nestle.com,nestle.com,nestle-s-a-,true
https://www.linkedin.com/company/manitougroup,Manitou Group,http://www.manitou-group.com,manitou-group.com,manitougroup,true
https://www.linkedin.com/company/latecoere,Latécoère,https://www.latecoere.aero,latecoere.aero,latecoere,true
https://www.linkedin.com/company/volkswagen-group,Volkswagen group,https://www.volkswagenag.com/en.html,volkswagenag.com,volkswagen-ag,false
https://www.linkedin.com/company/bridgestone,Bridgestone,https://www.bridgestoneamericas.com/en/index,bridgestoneamericas.com,bridgestone,true
https://www.linkedin.com/company/bledina,Bledina,http://www.bledina.com/,bledina.com,bledina,true
https://www.linkedin.com/company/blue-origin,Blue Origin,https://www.blueorigin.com/,blueorigin.com,davidson-consulting,false
https://www.linkedin.com/company/caterpillar-inc,Caterpillar,https://www.caterpillar.com,caterpillar.com,caterpillar-inc,true
https://www.linkedin.com/company/asm-assembly-systems,ASM Assembly,https://smt.asmpt.com/,asmpt.com,alsi,false
https://www.linkedin.com/company/laboratoire-boiron,Boiron,http://www.boiron.fr/,boiron.fr,laboratoire-boiron,true
https://www.linkedin.com/company/fcagroup,Fiat Chrysler Automobiles,https://www.fcagroup.com,fcagroup.com,fcagroup,true
https://www.linkedin.com/company/ouest-alu/,MAYET,https://www.ouestalu.fr/,ouestalu.fr,ouest-alu,true
https://www.linkedin.com/company/biedermannmotech,Biedermann Motech,http://www.biedermann.com,biedermann.com,biedermann-motech,false
https://www.linkedin.com/company/boston-dynamics,Boston Dynamics,http://www.bostondynamics.com,bostondynamics.com,boston-dynamics,true
https://www.linkedin.com/company/bouygues-construction,Bouygues,http://www.bouygues-construction.com/,bouygues-construction.com,bouygues-construction,true
https://www.linkedin.com/company/lvmh,LVMH,http://www.lvmh.com,lvmh.com,lvmh,true
https://www.linkedin.com/company/stelia-aerospace,Stelia Aerospace,https://www.stelia-aerospace.com/en/,stelia-aerospace.com,stelia-aerospace,true
https://www.linkedin.com/company/stmicroelectronics,ST Microelectronics,https://www.st.com?src=linkedin,st.com,stmicroelectronics,true
https://www.linkedin.com/company/fossil,Fossil,http://www.fossilgroup.com/,fossilgroup.com,fossil,true
https://www.linkedin.com/company/nexans/,Nexans,https://www.nexans.fr/fr/,nexans.fr,nexans-interface-maroc,false
https://www.linkedin.com/company/liquid-robotics,Liquid Robotics,http://liquid-robotics.com/,liquid-robotics.com,liquid-robotics,true
https://www.linkedin.com/company/haulotte-group,Haulotte,http://www.haulotte.com,haulotte.com,haulotte-group,true
https://www.linkedin.com/company/valeo,Valeo,http://www.valeo.com,valeo.com,valeo,true
https://www.linkedin.com/company/toyota,Toyota,http://www.toyota-global.com/,toyota-global.com,toyota,true
https://www.linkedin.com/company/pfizer,Pfizer,http://www.pfizer.com,pfizer.com,pfizer,true
https://www.linkedin.com/company/sanofi,Sanofi,http://www.sanofi.com,sanofi.com,sanofi,true
https://www.linkedin.com/company/johnson-&-johnson,Johnson & Johnson,http://www.jnj.com,jnj.com,johnson-&-johnson,true
https://www.linkedin.com/company/medtronic,Medtronic,http://www.medtronic.com,medtronic.com,medtronic,true
https://www.linkedin.com/company/lactalis,Lactalis,https://www.lactalis.com/,lactalis.com,,false
https://www.linkedin.com/company/bayer,Bayer,https://www.bayer.com/en/career,bayer.com,bayer,true
https://www.linkedin.com/company/loréal,L'Oreal,http://www.loreal.com,loreal.com,lor%C3%A9al,false
https://www.linkedin.com/company/longchamp,Longchamp,http://www.longchamp.com,longchamp.com,longchamp,true
https://www.linkedin.com/company/astrazeneca,AstraZeneca,http://www.astrazeneca.com,astrazeneca.com,astrazeneca,true
https://www.linkedin.com/company/blue-ocean-robotics,Blue Ocean Robotics,http://www.blue-ocean-robotics.com,blue-ocean-robotics.com,blue-ocean-robotics,true
https://www.linkedin.com/company/lacoste,Lacoste,https://corporate.lacoste.com/,lacoste.com,lacoste,true
https://www.linkedin.com/company/rockwell-automation,Rockwell Automation,http://www.rockwellautomation.com/,rockwellautomation.com,rockwell-automation,true
https://www.linkedin.com/company/inspekto-amv/,INSPEKTO,https://inspekto.com/,inspekto.com,inspekto-amv,true
https://www.linkedin.com/company/sodebo,Sodebo,https://www.sodebo.com/espace-recrutement,sodebo.com,sodeb,false
https://www.linkedin.com/company/mercedes-benz_ag,Mercedes-Benz,http://www.mercedes-benz.com/,mercedes-benz.com,mercedes-benz-algerie,false
https://www.linkedin.com/company/hermes-group,Hermès,http://www.hermes.com/employeur,hermes.com,la-montre-hermes-sa,false
https://www.linkedin.com/company/asteelflash,Asteelflash,http://www.asteelflash.com,asteelflash.com,asteelflash,true
https://www.linkedin.com/company/gehealthcare,GE Healthcare,http://www.gehealthcare.com,gehealthcare.com,gehealthcare,true
https://www.linkedin.com/company/r&d-vision/,RD VISION,https://rd-vision.com/,rd-vision.com,r&d-vision,true
