linkedin_url,input_name
https://www.linkedin.com/company/calaosoft,CALAOSOFT
https://www.linkedin.com/company/odu-connectors,ODU GmbH & Co. KG
https://www.linkedin.com/company/petit-bateau,PETIT BATEAU
https://www.linkedin.com/company/virbac,VIRBAC
https://www.linkedin.com/company/horsch,HORSCH
https://www.linkedin.com/company/sateco-ag,Sateco AG
https://www.linkedin.com/company/sermati,SERMATI
https://www.linkedin.com/company/montage-cablage-installation,MCI Montage Cablage Installation
https://www.linkedin.com/company/minco.sas,MINCO SA
https://www.linkedin.com/company/positronic-industries,POSITRONIC
https://www.linkedin.com/company/biocoop-sa,BIOCOOP
https://www.linkedin.com/company/safran,SAFRAN
https://www.linkedin.com/company/creative-cables,CREATIVE CABLING
https://www.linkedin.com/company/wphaton,Haton
https://www.linkedin.com/company/baxter-healthcare,BAXTER HEALTHCARE
https://www.linkedin.com/company/surveycopter,SURVEY COPTER
https://www.linkedin.com/company/polarcom,PolarComp
https://www.linkedin.com/company/keopsys,KEOPSYS Lannion
https://www.linkedin.com/company/arcus-air,ARCUS components GmbH
https://www.linkedin.com/company/fundaci-n-prodintec,PRODINTEC
https://www.linkedin.com/company/siemens,SIEMENS
https://www.linkedin.com/company/screentec-oy,SCREENTEC OY
https://www.linkedin.com/company/kontron,KONTRON MODULAR COMPUTERS SAS
https://www.linkedin.com/company/orexad-brammer,OREXAD BRAMMER
https://www.linkedin.com/company/ala---advanced-logistics-for-aerospace-france,ALA FRANCE - ADVANCED LOGISTICS FOR AEROSPACE
https://www.linkedin.com/company/achats-systemes,ACHATS SYSTEMES
https://www.linkedin.com/company/moog,Moog
https://www.linkedin.com/company/bertin-winlight,WINLIGHT SYSTEM
https://www.linkedin.com/company/eiffage_2,EIFFAGE
https://www.linkedin.com/company/arcelormittal-france,ARCELORMITTAL FRANCE
https://www.linkedin.com/company/aode-electronics,TECHWAVE MANUFACTURING - AODE ELECTRONICS
https://www.linkedin.com/company/mw-fep-s-p-a-,MW FEP SPA
